date,marketplace,country,sku,product_name,impressions,clicks,orders,units_sold,sales,ad_spend,refunds,inventory
2026-08-01,Amazon,US,SKU-NORMAL-US,Stainless Steel Bottle,10000,300,30,35,899.70,150.00,1,120
2026-08-02,Amazon,US,SKU-NORMAL-US,Stainless Steel Bottle,12000,360,36,40,1079.64,160.00,2,95
2026-08-02,Amazon,DE,SKU-NORMAL-DE,Ergonomic Laptop Stand,6000,180,18,18,899.82,120.00,1,70
2026-08-03,Amazon,US,SKU-LOW-CTR,Travel Packing Cubes,10000,50,5,5,199.95,20.00,0,80
2026-08-04,Amazon,US,SKU-LOW-CVR,Wireless Mouse,5000,250,2,2,79.98,180.00,0,60
2026-08-05,Amazon,US,SKU-NO-ORDER,Phone Tripod,3000,120,0,0,0.00,140.00,0,45
2026-08-06,eBay,US,SKU-LOW-ROAS,Desk Organizer,8000,320,20,20,400.00,600.00,1,75
2026-08-07,Amazon,US,SKU-HIGH-REFUND,Portable Blender,4000,200,20,22,799.80,100.00,5,90
2026-08-07,Amazon,US,SKU-STOCKOUT,LED Desk Lamp,3000,150,15,15,449.85,60.00,1,10
2026-08-08,Amazon,US,SKU-STOCKOUT,LED Desk Lamp,2500,120,12,12,359.88,50.00,1,0
2026-08-09,eBay,US,SKU-ZERO-DENOM,New Product Placeholder,0,0,0,0,0.00,0.00,0,0
2026-08-10,Amazon,US,SKU-CLICK-ERROR,Invalid Funnel Product,100,120,5,5,149.95,20.00,0,20
2026-08-10,Amazon,US,SKU-ORDER-WARNING,Organic Order Product,1000,10,15,15,449.85,25.00,1,30
2026-08-10,Amazon,US,SKU-REFUND-WARNING,Historical Refund Product,1500,75,15,18,449.85,30.00,20,40
2026/08/11,Amazon,US,SKU-BAD-DATE,Ambiguous Date Product,1000,50,5,5,149.95,20.00,0,20
2026-08-11,Amazon,US,SKU-BAD-NUMBER,Invalid Numeric Product,1000,not-a-number,5,5,149.95,20.00,0,20
2026-08-11,Amazon,US,SKU-NEGATIVE-SPEND,Negative Spend Product,1000,50,5,5,149.95,-15.00,0,20
2026-08-12,Amazon,US,,Missing SKU Product,1000,50,5,5,149.95,20.00,0,20
2026-08-12,Amazon,,SKU-MISSING-COUNTRY,Missing Country Product,1000,50,5,5,149.95,20.00,0,20
2026-08-14,eBay,US,SKU-DUP,Portable Label Printer,2000,100,10,10,299.90,40.00,0,25
2026-08-14,eBay,US,SKU-DUP,Portable Label Printer,2000,100,10,10,299.90,40.00,0,25
2026-08-15,Amazon,US,SKU-KEY-CONFLICT,USB Hub,2000,100,10,10,249.90,30.00,0,20
2026-08-15,Amazon,US,SKU-KEY-CONFLICT,USB Hub,2000,100,10,10,259.90,35.00,0,20
